Name;Technique; req;Form;req;Level;Ritual;Special Requirements;Book;Page
Boundless Wealth of the Oceans;Cr;;An;;20;Ritual;;Trans. ME;117
Piercing Lance of Bone;Cr;;An;;20;;;L&tL;60
Repair Cracks and Tears;Cr;;An;;20;Ritual;;Covs;99
Sheering the Unseen Sheep;Cr;;An;;20;;;MoH;56
Soothe Pains of the Beast;Cr;;An;;20;Ritual;;ArM5;117
True Rest of the Injured Brute;Cr;;An;;20;;;ArM5;117
Worm of the Soil;Cr;;An;;20;;;MoH;82
Flight Perfected;Cr;;An;;25;;;MoH;82
Summoning the Creeping Death;Cr;;An;;25;;;HoH:S;34
Flight Divorced;Cr;;An;;30;;;MoH;82
Recruiting A Tiny Phalanx;Cr;Re;An;;30;;;MoH;12
Strength Extinguished;Cr;;An;;30;;;MoH;82
Sturdy Mantle of the Traveler;Cr;;An;;30;;;MoH;56
A Pile of Rotting Beef;Cr;;An;;35;;;Trans. ME;63
Harmonic Metamorphosis of the Beast;Cr;Mu;An;;35;;Hermetic Metamorphosis;MoH;83
Strength Renewed;Cr;;An;;35;;;MoH;82
Weaver's Trap of Webs;Cr;;An;;35;;;ArM5;117
Wizard's Mount, The;Cr;;An;;35;;;ArM5;117
Champion's Strength;Cr;;An;;40;Ritual;;BCoC;61
Mend the Broken Figure;Cr;;An;;40;Ritual;;BCoC;61
Venomous Velites;Cr;Re;An;;40;;;HoH:TL;139
Curse of the Ravenous Swarm;Cr;Re;An;;45;Ritual;;ArM5;117
Herd by Morning, A;Cr;;An;;50;;;Trans. ME;42
Twinning the Tome;Cr;In;An;Te;50;Ritual;Mutantum;HoH:TL;101
Conjuring the Magiacl Wolf;Cr;;An;Me Vi;60;Ritual;;Projects;126
Breath of Life Returned;Cr;;An;;80;Ritual;;Projects;130
Fashion the Ancient Worm;Cr;;An;"Co Ig Me  
Vi";80;Ritual;;Projects;127
Hurling the Droplet of Lye;Cr;;Aq;;3;;;Apprenties;46
Footsteps of Slippery Oil;Cr;;Aq;;5;;;ArM5;121
Dagger of Ice;Cr;Re;Aq;;10;;;HoH:S;35
Creeping Oil;Cr;;Aq;;15;;;ArM5;121
Lungs of Drowning;Cr;;Aq;Co;20;;;Projects;86
Mighty Torrent of Water;Cr;;Aq;;20;;;ArM5;121
Alchemist's Revenge;Cr;;Aq;;25;;;HoH:S;35
Rarefy the Crude Water;Cr;;Aq;;30;Ritual;;RoP:M;133
Deluge of Rushing and Dashing;Cr;;Aq;;40;;;ArM5;121
